code_insee,commune,pct_fibre,pct_cable,pct_dsl,pct_thd_radio,pct_4g_fixe,pct_hd_radio,pct_satellite,nb_locaux,nb_locaux_fibre,nb_locaux_cable,nb_locaux_dsl,nb_locaux_thd_radio,nb_locaux_4g_fixe,nb_locaux_hd_radio,nb_locaux_satellite
17258,Neuillac,96.6,0.0,69.8,0.0,100.0,100.0,100.0,179,173.0,,125.0,,179.0,179.0,179.0
17072,Burie,99.4,0.0,100.0,0.0,100.0,91.1,99.9,866,861.0,,866.0,,866.0,789.0,865.0
13066,Noves,88.4,0.0,100.0,0.0,100.0,0.0,100.0,3396,3002.0,,3396.0,,3396.0,,3396.0
32153,Haulies,0.0,0.0,84.2,0.0,100.0,80.3,100.0,76,,,64.0,,76.0,61.0,76.0
26220,Nyons,69.2,0.0,100.0,0.0,100.0,0.0,100.0,5940,4110.0,,5940.0,,5939.0,,5940.0
71501,Sassangy,98.3,0.0,100.0,43.3,100.0,0.0,100.0,120,118.0,,120.0,52.0,120.0,,120.0
91129,Cerny,98.6,0.0,99.4,0.0,100.0,0.0,100.0,1804,1779.0,,1794.0,,1804.0,,1804.0
31562,Urau,97.0,0.0,100.0,17.2,22.2,0.0,100.0,99,96.0,,99.0,17.0,22.0,,99.0
65041,Asque,90.2,0.0,100.0,0.0,98.4,1.6,100.0,122,110.0,,122.0,,120.0,2.0,122.0
14747,Vieux,93.1,0.0,100.0,0.0,100.0,100.0,100.0,348,324.0,,348.0,,348.0,348.0,348.0
70235,Flagy,96.3,0.0,100.0,0.0,7.4,0.0,100.0,81,78.0,,81.0,,6.0,,81.0
24144,Creyssac,0.0,0.0,100.0,0.0,100.0,0.0,100.0,72,,,72.0,,72.0,,72.0
33262,Macau,82.6,0.0,99.6,0.0,100.0,0.0,100.0,2210,1825.0,,2202.0,,2210.0,,2210.0
17427,Siecq,93.3,0.0,100.0,0.0,100.0,41.7,100.0,163,152.0,,163.0,,163.0,68.0,163.0
60676,Ville,99.7,0.0,100.0,0.0,100.0,0.0,100.0,367,366.0,,367.0,,367.0,,367.0
45178,Ladon,96.6,0.0,100.0,0.0,100.0,0.0,100.0,850,821.0,,850.0,,850.0,,850.0
21029,Athie,100.0,0.0,100.0,100.0,100.0,0.0,100.0,55,55.0,,55.0,55.0,55.0,,55.0
45061,Cepoy,96.3,0.0,100.0,0.0,100.0,0.0,100.0,1387,1335.0,,1387.0,,1387.0,,1387.0
63260,Olmet,0.0,0.0,99.6,0.0,99.1,0.0,100.0,223,,,222.0,,221.0,,223.0
65108,Bours,98.7,0.0,98.7,0.0,100.0,100.0,100.0,469,463.0,,463.0,,469.0,469.0,469.0
56007,Auray,93.5,0.0,100.0,0.0,98.7,0.0,100.0,10438,9757.0,,10438.0,,10306.0,,10438.0
81092,Fiac,80.1,0.0,77.7,0.0,100.0,0.0,100.0,627,502.0,,487.0,,627.0,,627.0
64146,Bournos,96.9,0.0,100.0,95.7,78.9,0.0,100.0,161,156.0,,161.0,154.0,127.0,,161.0
54078,Blémerey,100.0,0.0,100.0,0.0,100.0,0.0,100.0,43,43.0,,43.0,,43.0,,43.0
64417,Nay,62.9,0.0,100.0,33.8,100.0,0.0,100.0,2797,1759.0,,2797.0,945.0,2797.0,,2797.0
54147,Crion,98.4,0.0,100.0,0.0,100.0,0.0,100.0,62,61.0,,62.0,,62.0,,62.0
62214,Carly,98.6,0.0,100.0,0.0,100.0,0.0,100.0,291,287.0,,291.0,,291.0,,291.0
40129,Josse,83.4,0.0,100.0,0.0,100.0,0.0,100.0,518,432.0,,518.0,,518.0,,518.0
62868,Wail,98.8,0.0,100.0,0.0,100.0,0.0,100.0,168,166.0,,168.0,,168.0,,168.0
11269,Ouveillan,79.8,0.0,94.9,0.0,100.0,0.0,100.0,1638,1307.0,,1555.0,,1638.0,,1638.0
79251,Marcillé,50.8,0.0,100.0,0.0,100.0,0.0,100.0,425,216.0,,425.0,,425.0,,425.0
29029,Cléden-Poher,95.2,0.0,86.5,0.0,100.0,0.0,100.0,812,773.0,,702.0,,812.0,,812.0
27363,Le Landin,90.5,0.0,60.6,0.0,96.4,0.0,100.0,137,124.0,,83.0,,132.0,,137.0
45026,Bazoches-sur-le-Betz,97.5,0.0,100.0,0.0,100.0,0.0,100.0,797,777.0,,797.0,,797.0,,797.0
86257,Savigny-sous-Faye,15.5,0.0,95.6,0.0,100.0,0.0,100.0,226,35.0,,216.0,,226.0,,226.0
76446,Montigny,99.2,0.0,100.0,0.0,100.0,0.0,100.0,615,610.0,,615.0,,615.0,,615.0
91667,Villemoisson-sur-Orge,94.6,0.0,100.0,0.0,100.0,0.0,100.0,3774,3569.0,,3774.0,,3774.0,,3774.0
44188,Saint-Philbert-de-Grand-Lieu,98.5,0.0,100.0,0.0,100.0,0.0,100.0,4665,4593.0,,4665.0,,4665.0,,4665.0
89319,Quenne,100.0,0.0,100.0,0.4,100.0,0.0,100.0,264,264.0,,264.0,1.0,264.0,,264.0
63435,Tourzel-Ronzières,0.0,0.0,100.0,0.0,88.5,0.6,100.0,157,,,157.0,,139.0,1.0,157.0
88506,Vieux-Moulin,98.5,0.0,100.0,0.0,100.0,0.0,100.0,194,191.0,,194.0,,194.0,,194.0
39046,Bellecombe,90.9,0.0,100.0,0.0,76.6,0.0,100.0,77,70.0,,77.0,,59.0,,77.0
21367,Magny-Montarlot,97.7,0.0,100.0,0.0,100.0,0.0,100.0,133,130.0,,133.0,,133.0,,133.0
41245,Séris,99.5,0.0,100.0,0.0,100.0,0.0,100.0,196,195.0,,196.0,,196.0,,196.0
13055,Marseille,85.5,62.4,94.9,0.0,96.9,0.0,100.0,502369,429752.0,313242.0,476753.0,,486604.0,,502285.0
89329,Rugny,0.0,0.0,100.0,0.0,100.0,0.0,100.0,120,,,120.0,,120.0,,120.0
61034,Beaulieu,47.6,0.0,100.0,0.0,100.0,0.0,100.0,185,88.0,,185.0,,185.0,,185.0
18129,Lissay-Lochy,83.1,0.0,100.0,0.0,100.0,0.0,100.0,118,98.0,,118.0,,118.0,,118.0
95011,Ambleville,96.9,0.0,100.0,0.0,100.0,0.0,100.0,224,217.0,,224.0,,224.0,,224.0
21348,Licey-sur-Vingeanne,95.7,0.0,100.0,8.6,100.0,0.0,100.0,70,67.0,,70.0,6.0,70.0,,70.0
83091,Pierrefeu-du-Var,59.6,0.0,98.7,0.0,90.9,0.0,100.0,3695,2202.0,,3648.0,,3358.0,,3695.0
47311,Tourliac,83.0,0.0,0.0,0.0,100.0,100.0,100.0,94,78.0,,,,94.0,94.0,94.0
86152,Mauprévoir,64.3,0.0,100.0,0.0,100.0,0.0,100.0,479,308.0,,479.0,,479.0,,479.0
51579,Tréfols,94.4,0.0,95.3,0.0,100.0,0.0,100.0,107,101.0,,102.0,,107.0,,107.0
61332,Pointel,0.0,0.0,100.0,0.0,100.0,0.0,100.0,188,,,188.0,,188.0,,188.0
